ID;eventID;longitude;latitude;depth;magnitude;rake;dip;strike;rupture_width;rupture_length;midpt_lon;midpt_lat;midpt_depth;scale_law;slip;bottom_roughness;seeds_gm;exposure_model;vulnerability_model_eq;vulnerability_model_ts
7428;165783;-68,36492;-30,49089;125,2293;6,5;-90;38,6945;334,595;8,080144604;13,20926818;-68,38718341;-30,47770486;122,844273;WellsCoppersmith;2,210959844;0,166743089;1064150827;;;
7429;165799;-70,60258;-30,05548;5,727367;6,45;-90;44,9996;90,04163;11,91532023;21,0584136;-70,58493464;-30,05334653;5,384814124;Stafford;0,791311314;0,018606353;2112835187;;;
7430;165806;-71,65385;-35,87165;8;6,25;-90;45,00076;304,98;5,899540833;13,10452483;-71,65348644;-35,86736437;5,663465273;Stafford;1,287179919;0,016622946;1241810656;;;
7431;165814;-69,25382;-31,82867;119,3004;6,5;-90;42,9748;16,53691;15,84664214;24,61616449;-69,24449465;-31,73424809;117,0714329;Stafford;0,604952269;0,00867082;2030886958;;;
7432;165819;-72,80895;-33,46073;17,86366;6,55;90;31,79798;17,86366;14,91611603;24,29618923;-72,78937038;-33,43333937;18,37172332;WellsCoppersmith;0,773899972;0,015940254;1086216552;;;
7433;165833;-69,03432;-30,42477;9,027225;6,05;90;37,03986;20,28721;7,915203666;11,2868726;-69,0092773;-30,42800039;10,90048118;Stafford;0,558268377;0,013906285;1146507482;;;
7434;165882;-70,83076;-28,90206;50,36242;6,85;90;20,17378;6,456768;24,0178635;33,8396851;-70,84892366;-28,99111133;50,11982592;Stafford;0,972563709;0,033843835;2340533973;;;
7435;165892;-71,81175;-34,22359;4,755282;6,55;-90;72,1441;143,5802;11,24069566;12,30751417;-71,83019372;-34,20060793;3,262233072;WellsCoppersmith;2,027286887;0,028850435;1506754109;;;
7436;165897;-71,76582;-30,67954;27,02507;6,95;90;10,99835;7,688732;39,90923785;25,43419477;-71,89597588;-30,67191128;24,60167428;WellsCoppersmith;1,099986407;0,039050667;3285050987;;;
7437;166039;-69,90525;-32,27568;109,9503;6,4;-90;47,19493;15,72211;12,90088193;20,31547207;-69,92007625;-32,2277352;106,4228059;Stafford;0,637429893;0,025097482;3822442089;;;
7438;166059;-68,47344;-31,83676;9,027225;6,45;90;38,31005;9,95555;13,75293559;19,77283074;-68,47626969;-31,83685463;8,792773479;Stafford;0,730154032;0,022288451;1633213340;;;
7439;166061;-68,20215;-30,46799;141,2496;7;-90;38,69402;332,4502;13,7480364;25,98047893;-68,24234051;-30,42862884;138,4717992;WellsCoppersmith;3,715274608;0,047245227;1787402571;;;
7440;166090;-69,33704;-30,30126;11,82016;6,25;90;52,05265;181,5827;10,64631012;12,55193519;-69,32788397;-30,4082209;14,25018477;WellsCoppersmith;0,744678721;0,01634334;2673546861;;;
7441;166279;-72,79726;-34,96837;10;6,75;-45;75,00026;304,9535;11,36351124;30,65449345;-72,84686868;-34,93598285;7,917391644;WellsCoppersmith;1,606467913;0,014042555;1300227795;;;
7442;166288;-71,92078;-29,99043;22,73452;6,75;90;8,813619;7,379251;13,0600072;21,63803157;-71,94091031;-30,00173348;22,4613986;WellsCoppersmith;1,980238859;0,00819561;3028050248;;;
7443;166290;-71,5605;-31,37109;10;6,85;-45;74,99998;304,9485;8,595007285;38,59455489;-71,55985784;-31,37313727;10,87966422;Stafford;2,382903524;0,017171094;3539655016;;;
7444;166298;-68,49751;-31,87678;9,027225;6,15;90;38,79429;27,05966;18,05478377;9,27104969;-68,51298449;-31,90609207;9,176743537;WellsCoppersmith;0,420879279;0,00854674;2021666822;;;
7445;166300;-68,00563;-31,17428;17;6,05;90;44,99784;0,0159833;7,442546705;11,39141229;-68,00585442;-31,17459361;16,96983135;Stafford;0,588273934;0,052763871;3309491358;;;
7446;166308;-69,16148;-30,71567;14,26585;6,35;180;72,12344;7,900288;8,612992031;20,67415539;-69,16771038;-30,73123646;11,7580314;Stafford;0,789399639;0,004316887;922239580;;;
7447;166315;-71,54589;-34,82352;84,02339;7,3;-90;47,82596;9,489643;18,68728809;75,22343045;-71,61743067;-34,87374769;76,26909016;WellsCoppersmith;2,660598425;0,009878;676354354;;;
7448;166320;-69,67014;-31,12728;112,7901;6,2;-90;46,53035;6,214631;12,81260285;13,16884028;-69,69352122;-31,14378508;110,0049029;WellsCoppersmith;0,496242379;0,004439129;291070799;;;
7449;166321;-71,10953;-35,74963;110,7152;6,1;-90;55,07606;12,54156;7,585694862;5,946062367;-71,12584613;-35,77337437;109,0376242;WellsCoppersmith;1,314177163;0,040163206;1470745189;;;
7450;166337;-71,20484;-30,98909;42,06462;6,95;90;16,28113;7,399204;27,27299087;38,69078132;-71,17050591;-30,90179295;42,65554737;Stafford;1,058128661;0,041488839;1346007342;;;
7451;166343;-71,61687;-32,45422;8;6,05;-90;44,99976;120,0174;5,518006867;11,10939064;-71,59415427;-32,4591774;5,719677304;Stafford;0,813591253;0,026120556;2269176690;;;
7452;166353;-69,07611;-31,43035;15,57449;7,15;90;75;90,08838;37,82601438;51,49661475;-68,38377466;-31,43362071;17,36677944;Stafford;1,143693048;0,046806334;966355071;;;
7453;166354;-71,30386;-34,67426;103,4276;6,3;-90;47,56926;11,5151;9,122763155;16,14946144;-71,33658055;-34,64769355;98,66180865;WellsCoppersmith;0,802775854;0,034318068;3258252488;;;
7454;166403;-69,22166;-33,99253;172,4326;6,5;-90;58,85928;66,94688;12,40388994;18,39246579;-69,26861944;-33,98319515;168,0018916;WellsCoppersmith;1,034381833;0,027425634;4045814690;;;
7455;166523;-70,42032;-33,79555;116,0573;6,5;-90;54,69701;33,40527;14,01020838;21,95807529;-70,4310687;-33,77075638;112,5015303;Stafford;0,767078624;0,02221719;4224080068;;;
7456;166564;-71,80851;-34,20532;14,26585;6,35;-90;72,08202;319,7242;8,073855751;14,03851434;-71,83208325;-34,1755556;10,33001717;Stafford;1,24015683;0,012745961;1112137535;;;
7457;166565;-71,21953;-31,91463;8;6,05;-90;45,00142;304,9841;6,157783804;4,9467431;-71,16884882;-31,93933842;5,215353396;WellsCoppersmith;1,637325221;0,043950138;2281964008;;;
7458;166566;-70,54198;-34,19808;117,1255;6,5;-90;59,80692;27,71391;12,84881616;20,8240394;-70,57517628;-34,18183074;109,9403453;Stafford;0,881963583;0,139436886;3556340493;;;
7459;166572;-71,89573;-31,01531;8;6,35;-90;45,00063;120,0194;6,195332818;10,90491275;-71,91142422;-31,00100434;5,558535137;WellsCoppersmith;2,080615876;0,012513986;439703015;;;
7460;166574;-71,5019;-29,57617;28,60535;6,85;90;14,35006;7,013542;9,299809069;32,65625899;-71,57993776;-29,55899743;26,612957;WellsCoppersmith;2,602784916;0,013741656;95197546;;;
7461;166605;-71,82148;-32,63409;8;6,45;-45;74,99996;304,9704;5,512211735;19,09404793;-71,79642529;-32,64428336;5,596955848;Stafford;1,886491469;0,028488445;1684431226;;;
7462;166611;-70,98476;-30,38578;8;6,45;90;44,99992;30,04554;19,37595749;21,48033993;-71,0001103;-30,4086039;7,996798064;WellsCoppersmith;0,477061558;0,015546901;2502928715;;;
7463;166613;-70,38633;-30,76839;5;6,15;90;44,99653;0,02150988;5,259202018;22,47282814;-70,39055338;-30,75753393;4,428955473;WellsCoppersmith;0,596075348;0,01308496;3666637358;;;
7464;166621;-71,2083;-34,99521;5;6,05;-90;60,00141;0,01606036;12,52250168;17,19818883;-71,21052122;-34,95862711;4,295108277;Stafford;0,231582071;0,05333593;729319726;;;
7465;166810;-71,31561;-35,89453;15;6,15;90;59,99974;90,03336;11,74177328;13,61609141;-71,2851693;-35,88882867;13,72761428;Stafford;0,440648805;0,0384258;2251262499;;;
7466;166824;-72,17706;-34,15899;10;7,15;-45;74,99979;304,8833;12,69360988;67,17466293;-72,17910652;-34,1526759;7,287987241;Stafford;2,612691321;0,005605945;3651865983;;;
