,ssh_time_interval,boundingbox_upperright_lon,boundingbox_upperright_lat,boundingbox_lowerleft_lon,boundingbox_lowerleft_lat,certificate,dip,fault_depth,id_long,magnitude,model,model_version,path,provider,rake,scope,simulation_time,slip,strike,x,y,scenario_id
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,13.20000,40934.90,RG_C00005707_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00005707_mw8.15_04h,AWI,90.0000,REGIONAL,240,3.5400,7.5000,-71.44350,-31.63310,C00005707
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.20000,27212.10,RG_C00017915_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00017915_mw8.45_04h,AWI,90.0000,REGIONAL,240,31.0000,7.3000,-71.86580,-31.49820,C00017915
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,21.00000,38928.10,RG_C00016826_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00016826_mw8.25_04h,AWI,90.0000,REGIONAL,240,11.8000,20.6000,-72.64770,-34.74230,C00016826
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.80000,28564.80,RG_C00017691_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00017691_mw8.15_04h,AWI,90.0000,REGIONAL,240,4.4100,7.0000,-71.54670,-29.92680,C00017691
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.20000,25742.00,RG_C00015568_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00015568_mw8.35_04h,AWI,90.0000,REGIONAL,240,6.1700,8.0000,-71.52600,-29.09700,C00015568
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.50000,32087.60,RG_C00011298_mw8.55_04h,8.55,TsunAWI,r2019,RG_C00011298_mw8.55_04h,AWI,90.0000,REGIONAL,240,10.0500,7.7000,-71.95460,-32.52440,C00011298
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,13.10000,37942.00,RG_C00006427_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00006427_mw8.05_04h,AWI,90.0000,REGIONAL,240,4.5300,7.4000,-71.55870,-31.64800,C00006427
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.30000,30782.70,RG_C00020487_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00020487_mw8.25_04h,AWI,90.0000,REGIONAL,240,6.4600,7.2000,-71.36210,-29.35290,C00020487
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.20000,35699.30,RG_C00018609_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00018609_mw8.45_04h,AWI,90.0000,REGIONAL,240,6.7400,8.3000,-71.09360,-28.11250,C00018609
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,20.20000,44466.30,RG_C00005857_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00005857_mw8.45_04h,AWI,90.0000,REGIONAL,240,5.5700,19.9000,-72.71050,-35.31140,C00005857
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.80000,37069.30,RG_C00008226_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00008226_mw8.35_04h,AWI,90.0000,REGIONAL,240,12.5500,7.1000,-71.29120,-30.19890,C00008226
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,14.10000,35807.60,RG_C00020924_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00020924_mw8.15_04h,AWI,90.0000,REGIONAL,240,4.7500,8.6000,-71.68660,-31.31710,C00020924
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.40000,38632.50,RG_C00009918_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00009918_mw8.25_04h,AWI,90.0000,REGIONAL,240,4.0700,21.0000,-73.14210,-35.86080,C00009918
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.10000,42075.30,RG_C00016483_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00016483_mw8.25_04h,AWI,90.0000,REGIONAL,240,5.8600,7.3000,-71.07080,-29.00730,C00016483
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.40000,44469.20,RG_C00002879_mw8.45_04h,8.45,TsunAWI,r2019,RG_C00002879_mw8.45_04h,AWI,90.0000,REGIONAL,240,10.9500,15.2000,-73.35960,-36.97690,C00002879
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.30000,25373.90,RG_C00006124_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00006124_mw8.05_04h,AWI,90.0000,REGIONAL,240,3.7200,7.2000,-71.67100,-29.38580,C00006124
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,14.50000,39133.40,RG_C00019670_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00019670_mw8.05_04h,AWI,90.0000,REGIONAL,240,7.1900,7.5000,-71.53620,-31.41580,C00019670
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.30000,30861.30,RG_C00020526_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00020526_mw8.15_04h,AWI,90.0000,REGIONAL,240,3.4300,7.4000,-71.94650,-31.66440,C00020526
